Fragment,Count
NN(C#CN=O)ON(O)NC(O)(O)N=O,1
N=C1OC(O)(O)NC(N=O)(N=NNO)O1,1
N#CNON(O)ON(O)NC(O)(O)C#N,1
N=NC1(N=NNO)OC(=O)NC(O)(O)O1,1
[3*]ON(O)ON(N)C=NN=O,1
[5*]NC(N=NN=N)OC(O)(O)N=O,1
[3*]OC(=N)NON=O,1
N=C=NNC1(N=O)NC(O)(O)ON(O)O1,1
NN(N=O)C1(N=O)N=C(O)N1C(O)(O)O,1
[10*]N1C(=O)NC1(N=N)N(O)N=O,1
[3*]ON(O)OC(N)(N)O,1
[3*]OON=NC(O)(O)C#N,1
[13*]C1(N=O)N=NC1=O,1
N=C(N)N=C(O)ON(N=O)C(O)(O)N=O,1
[3*]ON(N)NN(C#N)C(O)(O)N=O,1
[13*]C1(N=O)NC(N)(O)ON1N=O,1
[4*]C(N)(O)C(O)(O)N=O,1
[3*]OC(O)=NC(N)(O)O,1
[3*]OC(N)(O)OON=O,1
