SMILES,MW,HBA,HBD,LogP,lipinski_valid,Error,chemval,chem_violation
CC1C(O)COO1,104.047344116,3,1,-0.3024,True,False,True,
OC1C(O)COC1,104.047344116,3,2,-1.2616,True,False,True,
CC1C(O)OOC1,104.047344116,3,1,-0.0973,True,False,False,Geminal diol/triol
OC1C(C)C(O)O1,104.047344116,3,2,-0.7105000000000001,True,False,False,Geminal diol/triol
CC1C(O)C(O)O1,104.047344116,3,2,-0.9156,True,False,False,Geminal diol/triol
OC1C(O)C(O)C1,104.047344116,3,3,-1.5272000000000003,True,False,True,
CCOC1OCO1,104.047344116,3,0,0.31079999999999997,True,False,False,Geminal diol/triol
OCCC1OCO1,104.047344116,3,1,-0.3008000000000002,True,False,False,Geminal diol/triol
OCOC1OCC1,104.04734411599999,3,1,-0.30079999999999996,True,False,False,Geminal diol/triol
CCCC1OOO1,104.047344116,3,0,1.006,True,False,False,Geminal diol/triol
CCOC1OOC1,104.047344116,3,0,0.31079999999999997,True,False,False,Geminal diol/triol
OCCC1OOC1,104.047344116,3,1,-0.3008000000000002,True,False,True,
OCOC1COC1,104.047344116,3,1,-0.6484000000000001,True,False,False,Geminal diol/triol
COCC1OCO1,104.047344116,3,0,-0.036799999999999944,True,False,False,Geminal diol/triol
COOC1OCC1,104.04734411599999,3,0,0.31079999999999997,True,False,False,Geminal diol/triol
OOCC1OCC1,104.04734411599999,3,1,0.2648999999999999,True,False,True,
OOOC1CCC1,104.04734411599999,3,1,0.9601,True,False,True,
COCC1OOC1,104.047344116,3,0,-0.036799999999999944,True,False,True,
COOC1COC1,104.047344116,3,0,-0.036799999999999944,True,False,True,
OOCC1COC1,104.047344116,3,1,0.12240000000000006,True,False,True,
OC1C(O1)OCC,104.047344116,3,1,-0.3024,True,False,False,Geminal diol/triol
OC1C(O1)CCO,104.047344116,3,2,-0.9140000000000001,True,False,False,Geminal diol/triol
CC1C(O1)OCO,104.047344116,3,1,-0.30240000000000006,True,False,False,Geminal diol/triol
OC1C(C1)OCO,104.047344116,3,2,-0.9140000000000001,True,False,False,Geminal diol/triol
OC1C(O1)COC,104.047344116,3,1,-0.6500000000000001,True,False,False,Geminal diol/triol
CC1C(O1)OOC,104.047344116,3,0,0.3091999999999999,True,False,False,Geminal diol/triol
