SMILES,MW,HBA,HBD,LogP,Valid,Error
O=NN=C(O)OC1(N)NC(N1N=O)(O)O,222.034881912,9,5,-2.649099999999999,True,False
ON=NC(=O)OC1(N)OC(N1N=N)(O)O,222.034881912,9,5,-1.5915300000000001,True,False
N=NOC(=O)OC1(O)NC(N=NO1)(O)N,222.034881912,12,5,-1.7615300000000005,True,False
NN=NC(=O)OC1(O)OC(N=NO1)(O)N,222.034881912,10,4,-1.9712000000000005,True,False
O=NON(O)OC1(O)NC(N=C=N1)(O)N,222.034881912,12,5,-2.8348000000000004,True,False
O=NNN(N)OC1(O)OC(N=C=N1)(O)O,222.034881912,11,5,-3.3166999999999995,True,False
O=C=NN(O)OC1(N)OC(N=NO1)(O)N,222.034881912,12,4,-2.5936999999999997,True,False
N=C=NN(O)OC1(O)OC(N=NO1)(O)N,222.034881912,12,5,-2.143230000000001,True,False
O=NOC=1OC(N1)(N)OC(N=NN)(O)O,222.034881912,11,4,-2.4210000000000003,True,False
N#CON1OC(O1)(O)NC(N=NN)(O)O,222.034881912,11,5,-3.3071200000000003,True,False
O=NOC(=N)OC1(O)OC(ON=N)(N)N1,222.034881912,12,5,-1.6082600000000005,True,False
ON=NC(=N)OC1(O)OC(ON=N)(N)O1,222.034881912,10,5,-1.0378600000000002,True,False
NN=NC(=O)OC1(O)OC(N=NO)(O)N1,222.034881912,9,5,-1.8827000000000003,True,False
N=NNC(=O)NC1(O)OC(NN=O)(O)O1,222.034881912,9,6,-2.2434300000000005,True,False
O=NN1C(ON=N)(O)N(C1=O)C(N)(O)O,222.034881912,10,5,-2.47383,True,False
O=NN1C(NN=O)(O)N(C1=O)C(N)(O)O,222.034881912,9,5,-3.1654,True,False
N#CN1C(ON=O)(N)N(N1O)C(O)(O)O,222.034881912,12,5,-3.5375199999999998,True,False
O=NOC1(O)N(C(=O)N=NO1)C(N)(O)N,222.034881912,10,4,-2.3716,True,False
N=NN1C(ON=O)(O)NC1=NC(O)(O)O,222.034881912,10,6,-2.91663,True,False
ON=NC1(O)N=C(N=NN1)OC(O)(O)O,222.034881912,11,6,-2.6374,False,False
N#CON(OC(O)(O)O)NC1(O)N=NN1,222.034881912,12,6,-3.7005199999999996,False,False
O=NOC1=NC(ON=O)(N)N1C(N)(O)O,222.034881912,12,4,-2.8213999999999997,True,False
O=C=NN1OC(NN=N)(O)N1C(O)(O)O,222.034881912,11,6,-3.57123,False,False
O=NNC1(O)NC(NC(=O)ON=N1)(O)O,222.034881912,10,6,-2.8465,True,False
N#COC1(O)NC(ON(N)N=NO1)(O)O,222.034881912,12,5,-3.3071199999999994,True,False
